Intent,Patterns,Responses,,,,,,,,,
Greetings,"Hi, Hello, Hey, Good morning, Good afternoon, Good evening","Hello! How can I help you?, Hi there! How may I assist you today?",,,,,,,,,
Password Reset,"I forgot my password, How do I reset my password?, My password isn't working","Please reset your password through the school website., You can reset your password on the school portal., Please contact the IT department for assistance with your password.",,,,,,,,,
enroll,How can I enroll in a course?,"To enroll in a course, you can visit the course page and click the ""Enroll"" button.",,,,,,,,,
course materials,How do I access course materials?,You can access course materials by logging into your account and navigating to the course page.,,,,,,,,,
grade process,What is the grading policy for this course?,The grading policy for this course should be outlined in the course syllabus.,,,,,,,,,
switch sections,Can I switch to a different section of the same course?,It depends on the availability of seats in the other section. You can contact the course instructor or the registrar's office for more information.,,,,,,,,,
view grades,"Where can I find my grades for this course?,What are the prerequisites for this course?,How do I drop a course?","You can usually find your grades for this course by logging into your account and navigating to the gradebook,The prerequisites for this course should be listed in the course description or syllabus,You can drop a course by contacting the registrar's office or through your student account.",,,,,,,,,
couse schedule,"What is the course schedule for this semester?,What resources are available to help me study for exams?","The course schedule for this semester should be listed in the course syllabus or on the course website,There are several resources available to help you study for exams, including study groups, tutoring services, and online resources.",,,,,,,,,
assignment format,What is the format for citations in this course?,The format for citations in this course should be outlined in the course syllabus or assignment instructions.,,,,,,,,,
optional subject,Can I take this course for credit/no credit?,It depends on the policies of your institution and the specific course. You can contact the registrar's office for more information.,,,,,,,,,
software,What software do I need for this course?,The required software for this course should be listed in the course syllabus or on the course website.,,,,,,,,,
attendance format,"What is the attendance policy for this course?,What should I do if I miss a class?","The attendance policy for this course should be outlined in the course syllabus,If you miss a class, you should contact your instructor or TA and try to catch up on any missed material.",,,,,,,,,
online class,How do I access the online discussion forum?,You can usually access the online discussion forum through the course website or through an online platform like Canvas or Blackboard.,,,,,,,,,
course objective,What is the course objective?,The course objective should be outlined in the course syllabus or on the course website.,,,,,,,,,
textbooks,What is the textbook for this course?,The required textbook for this course should be listed in the course syllabus or on the course website.,,,,,,,,,
youtube channels,which youtube is helpful for btech students?,"NPTL,MIT OpenCourseWare,The Organi Chemistry,Crash Course Engineering,CodeWithHarry,Learn Engineering,Engineering Explained,Math Easy Solution.",,,,,,,,,
basic programming languages ,what are the basic programming skills for btech students?,"Basic coding skills,OOP,Data structure and algorithms,data management,web development,software engineering etc.",,,,,,,,,
competition exams,what are the competitive exams for btech students?,"JOSAA,GATE,GRE and Hakerthon are some of the competitive exams usefull to btech students.",,,,,,,,,
Timetable,"Where can I find my timetable?, What are my classes for today?, When is my next class?","You can find your timetable on the school portal., Your class schedule is available on the school website., Please check your email for your class schedule.",,,,,,,,,
Assignments,"What is the deadline for submitting assignments?,where can i see my assignments details?","You can view your assignments on the school portal., Please submit your assignment through the school website., Please contact your teacher for assistance with your assignment.",,,,,,,,,
Fees,"How much are my fees?, When are my fees due?, How do I pay my fees?","Please contact the accounts department for information on fees., Your fee information is available on the school website., Please check your email for information on fees.",,,,,,,,,
Library,"What are the library hours?, How do I check out a book?, What books are available in the library?","The school library is open from 8am to 5pm on weekdays., Please see the librarian to check out a book., You can search the library catalog on the school website.",,,,,,,,,
Sports,"How do I join a sports team?, What sports activities are available?, When is the next game?","Please contact the sports department for information on sports activities., You can sign up for a sports team on the school website., Please check the school calendar for the next game.",,,,,,,,,
Goodbye,"Bye, Goodbye, See you later, Take care","Goodbye! Have a great day., See you later!, Take care!",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,books for reference,,
,,,,,,,,,wedsites to refer,,
,,,,,,,,,youtube channels,,
,,,,,,,,,basic programming languages ,,
,,,,,,,,,subjects for 1st year,,
,,,,,,,,,subjects for 2nd year,,
,,,,,,,,,subjects for 3rd year,,
,,,,,,,,,subjects for 4th year,,
,,,,,,,,,competition exams,,
,,,,,,,,,,,
,,,,,,,,,Timetable,"Where can I find my timetable?, What are my classes for today?, When is my next class?","You can find your timetable on the school portal., Your class schedule is available on the school website., Please check your email for your class schedule."
,,,,,,,,,Assignments,"What is the deadline for submitting assignments?,where can i see my assignments details?","You can view your assignments on the school portal., Please submit your assignment through the school website., Please contact your teacher for assistance with your assignment."
,,,,,,,,,Fees,"How much are my fees?, When are my fees due?, How do I pay my fees?","Please contact the accounts department for information on fees., Your fee information is available on the school website., Please check your email for information on fees."
,,,,,,,,,Library,"What are the library hours?, How do I check out a book?, What books are available in the library?","The school library is open from 8am to 5pm on weekdays., Please see the librarian to check out a book., You can search the library catalog on the school website."
,,,,,,,,,Sports,"How do I join a sports team?, What sports activities are available?, When is the next game?","Please contact the sports department for information on sports activities., You can sign up for a sports team on the school website., Please check the school calendar for the next game."
,,,,,,,,,Goodbye,"Bye, Goodbye, See you later, Take care","Goodbye! Have a great day., See you later!, Take care!"
